id,suburb,state_id
812,WOY WOY BAY,70
813,BOOKER BAY,70
814,BOX HEAD,70
815,DALEYS POINT,70
816,EMPIRE BAY,70
817,ETTALONG BEACH,70
818,HARDYS BAY,70
819,KILLCARE,70
820,KILLCARE HEIGHTS,70
821,PRETTY BEACH,70
822,ST HUBERTS ISLAND,70
823,UMINA BEACH,70
824,WAGSTAFFE,70
825,FOUNTAINDALE,70
826,KANGY ANGY,70
827,OURIMBAH,70
828,PALM GROVE,70
829,PALMDALE,70
830,ALISON,70
831,BUSHELLS RIDGE,70
832,CEDAR BRUSH CREEK,70
833,CHAIN VALLEY BAY,70
834,CRANGAN BAY,70
835,DOORALONG,70
836,DURREN DURREN,70
837,FRAZER PARK,70
838,FREEMANS,70
839,GWANDALAN,70
840,HALLORAN,70
841,HAMLYN TERRACE,70
842,JILLIBY,70
843,KANWAL,70
844,KIAR,70
845,KINGFISHER SHORES,70
846,LAKE MUNMORAH,70
847,LEMON TREE,70
848,LITTLE JILLIBY,70
849,MANNERING PARK,70
850,MARDI,70
851,MOONEE,70
852,POINT WOLSTONCROFT,70
853,RAVENSDALE,70
854,ROCKY POINT,70
855,SUMMERLAND POINT,70
856,TACOMA,70
857,TACOMA SOUTH,70
858,TUGGERAH,70
859,TUGGERAWONG,70
860,WADALBA,70
861,WALLARAH,70
862,WARNERVALE,70
863,WATANOBBI,70
864,WOONGARRAH,70
865,WYBUNG,70
866,WYEE,70
867,WYEE POINT,70
868,WYONG,70
869,WYONG CREEK,70
870,WYONGAH,70
871,YARRAMALONG,70
872,ERINA HEIGHTS,70
873,FORRESTERS BEACH,70
874,NORTH AVOCA,70
875,TERRIGAL,70
876,WAMBERAL,70
877,BATEAU BAY,70
878,BAY VILLAGE,70
879,BERKELEY VALE,70
880,BLUE BAY,70
881,CHITTAWAY BAY,70
882,CHITTAWAY POINT,70
883,GLENNING VALLEY,70
884,KILLARNEY VALE,70
885,LONG JETTY,70
886,MAGENTA,70
887,SHELLY BEACH,70
888,THE ENTRANCE,70
889,THE ENTRANCE NORTH,70
890,TOOWOON BAY,70
891,TUMBI UMBI,70
892,BLUE HAVEN,70
893,BUDGEWOI,70
894,BUDGEWOI PENINSULA,70
895,BUFF POINT,70
896,COLONGRA,70
897,DOYALSON,70
898,DOYALSON NORTH,70
899,HALEKULANI,70
900,SAN REMO,70
901,CANTON BEACH,70
902,CHARMHAVEN,70
903,GOROKAN,70
904,LAKE HAVEN,70
905,NORAH HEAD,70
906,NORAVILLE,70
907,TOUKLEY,70
908,BALCOLYN,70
909,BONNELLS BAY,70
910,BRIGHTWATERS,70
911,DORA CREEK,70
912,ERARING,70
913,MANDALONG,70
914,MIRRABOOKA,70
915,MORISSET,70
916,MORISSET PARK,70
917,MYUNA BAY,70
918,SUNSHINE,70
919,WINDERMERE PARK,70
920,YARRAWONGA PARK,70
921,COORANBONG,70
922,MARTINSVILLE,70
923,WANGI WANGI,70
924,BARNSLEY,70
925,KILLINGWORTH,70
926,WAKEFIELD,70
927,BELMONT,70
928,BELMONT NORTH,70
929,BELMONT SOUTH,70
930,CROUDACE BAY,70
931,FLORAVILLE,70
932,JEWELLS,70
933,MARKS POINT,70
934,VALENTINE,70
935,BLACKSMITHS,70
936,CAMS WHARF,70
937,CATHERINE HILL BAY,70
938,CAVES BEACH,70
939,LITTLE PELICAN,70
940,MURRAYS BEACH,70
941,NORDS WHARF,70
942,PELICAN,70
943,PINNY BEACH,70
944,SWANSEA,70
945,SWANSEA HEADS,70
946,ELEEBANA,70
947,LAKELANDS,70
948,WARNERS BAY,70
949,ARCADIA VALE,70
950,AWABA,70
951,BALMORAL,70
952,BLACKALLS PARK,70
953,BOLTON POINT,70
954,BUTTABA,70
955,CAREY BAY,70
956,COAL POINT,70
957,FASSIFERN,70
958,FENNELL BAY,70
959,FISHING POINT,70
960,KILABEN BAY,70
961,RATHMINES,70
962,RYHOPE,70
963,TORONTO,70
964,ARGENTON,70
965,BOOLAROO,70
966,BOORAGUL,70
967,MARMONG POINT,70
968,SPEERS POINT,70
969,TERALBA,70
970,WOODRISING,70
971,CAMERON PARK,70
972,CARDIFF,70
973,CARDIFF HEIGHTS,70
974,CARDIFF SOUTH,70
975,EDGEWORTH,70
976,GLENDALE,70
977,MACQUARIE HILLS,70
978,HOLMESVILLE,70
979,SEAHAMPTON,70
980,WEST WALLSEND,70
981,BIRMINGHAM GARDENS,70
982,ELERMORE VALE,70
983,FLETCHER,70
984,MARYLAND,70
985,MINMI,70
986,RANKIN PARK,70
987,WALLSEND,70
988,WALLSEND SOUTH,70
989,ADAMSTOWN,70
990,ADAMSTOWN HEIGHTS,70
991,GARDEN SUBURB,70
992,HIGHFIELDS,70
993,KOTARA,70
994,KOTARA FAIR,70
