suburb,state_id,postcode,postcode,suburb,
BABYL CREEK,70,,1212,AUSTRALIA SQUARE,
BACCHUS MARSH,75,,1213,AUSTRALIA SQUARE,
BACK CREEK,70,,1214,AUSTRALIA SQUARE,
BACK FOREST,70,,1215,AUSTRALIA SQUARE,
BACK PLAINS,72,,200,AUSTRALIAN NATIONAL UNIVERSITY,
BACK VALLEY,73,,6233,AUSTRALIND,
BACKMEDE,70,,2107,AVALON BEACH,
BACKWATER,70,,6069,AVELEY,
BADDAGINNIE,75,,3664,AVENEL,
BADEN,74,,4670,AVENELL HEIGHTS,
BADGEBUP,76,,5273,AVENUE RANGE,
BADGER CREEK,75,,2850,AVISFORD,
BADGER HEAD,74,,2577,AVOCA,
BADGERIN ROCK,76,,3467,AVOCA,
BADGERYS CREEK,70,,4670,AVOCA,
BADGIN,76,,7213,AVOCA,
BADGINGARRA,76,,2251,AVOCA BEACH,
BADJA,70,,5253,AVOCA DELL,
BADJALING,76,,4306,AVOCA VALE,
BADU ISLAND,72,,2574,AVON,
BAEL BAEL,75,,5501,AVON,
BAERAMI,70,,862,AVON DOWNS,
BAERAMI CREEK,70,,3478,AVON PLAINS,
BAFFLE CREEK,72,,6084,AVON VALLEY NATIONAL PARK,
BAFFLE WEST,72,,2530,AVONDALE,
BAGDAD,74,,4670,AVONDALE,
BAGDAD NORTH,74,,3034,AVONDALE HEIGHTS,
BAGNOO,70,,3559,AVONMORE,
BAGO,70,,2628,AVONSIDE,
BAGOT,71,,3782,AVONSLEIGH,
BAGOT WELL,73,,2283,AWABA,
BAGOTVILLE,70,,3551,AXE CREEK,
BAGSHOT,75,,3551,AXEDALE,
BAGSHOT NORTH,75,,2575,AYLMERTON,
BAHGALLAH,75,,4807,AYR,
BAHRS SCRUB,72,,3268,AYRFORD,
BAILIESTON,75,,2390,BAAN BAA,
BAILUP,76,,6412,BAANDEE,
BAINES,71,,6428,BABAKIN,
BAIRD BAY,73,,6701,BABBAGE ISLAND,
BAIRNSDALE,75,,2825,BABINDA,
BAJOOL,72,,4861,BABINDA,
BAKARA,73,,2470,BABYL CREEK,
BAKARA WELL,73,,3340,BACCHUS MARSH,
BAKERS BEACH,74,,2372,BACK CREEK,
BAKERS BEND,72,,2390,BACK CREEK,
BAKERS CREEK,70,,2422,BACK CREEK,
BAKERS HILL,76,,2480,BACK CREEK,
BAKERS SWAMP,70,,2484,BACK CREEK,
BAKERY HILL,75,,2622,BACK CREEK,
BAKEWELL,71,,2671,BACK CREEK,
BAKING BOARD,72,,2535,BACK FOREST,
BALACLAVA,75,,4361,BACK PLAINS,
BALAKLAVA,73,,5211,BACK VALLEY,
BALALA,70,,2470,BACKMEDE,
BALBARRUP,76,,2365,BACKWATER,
BALBERRA,72,,3670,BADDAGINNIE,
BALCATTA,76,,7120,BADEN,
BALCOLYN,70,,6317,BADGEBUP,
BALCOMBA,72,,3777,BADGER CREEK,
BALD BLAIR,70,,7270,BADGER HEAD,
BALD HILLS,70,,6475,BADGERIN ROCK,
BALD KNOB,72,,2555,BADGERYS CREEK,
BALD NOB,70,,6302,BADGIN,
BALD RIDGE,70,,6521,BADGINGARRA,
BALDERSLEIGH,70,,2630,BADJA,
BALDINA,73,,6383,BADJALING,
BALDIVIS,76,,4875,BADU ISLAND,
BALDRY,70,,3579,BAEL BAEL,
BALFES CREEK,72,,2333,BAERAMI,
BALFOURS PEAK,70,,2333,BAERAMI CREEK,
BALGA,76,,4674,BAFFLE CREEK,
BALGAL BEACH,72,,4454,BAFFLE WEST,
BALGOWAN,72,,7030,BAGDAD,
BALGOWLAH,70,,7030,BAGDAD NORTH,
BALGOWLAH HEIGHTS,70,,2446,BAGNOO,
BALGOWNIE,70,,2446,BAGO,
BALHANNAH,73,,2730,BAGO,
BALICKERA,70,,820,BAGOT,
BALINGUP,76,,5373,BAGOT WELL,
BALINTORE,75,,2477,BAGOTVILLE,
BALKULING,76,,3551,BAGSHOT,
BALL BAY,72,,3551,BAGSHOT NORTH,
BALLA BALLA,76,,3312,BAHGALLAH,
BALLADONG,76,,4207,BAHRS SCRUB,
BALLADONIA,76,,3608,BAILIESTON,
BALLADORAN,70,,6082,BAILUP,
BALLAJURA,76,,5671,BAIRD BAY,
BALLALABA,70,,3875,BAIRNSDALE,
BALLAN,75,,4699,BAJOOL,
BALLANDEAN,72,,5354,BAKARA,
BALLANGEICH,75,,5354,BAKARA WELL,
BALLAPUR,75,,7307,BAKERS BEACH,
BALLARAT,75,,4470,BAKERS BEND,
BALLARAT CENTRAL,75,,2358,BAKERS CREEK,
BALLARAT EAST,75,,2422,BAKERS CREEK,
BALLARAT MC,75,,2447,BAKERS CREEK,
BALLARAT NORTH,75,,4740,BAKERS CREEK,
BALLARAT ROADSIDE DELIVERY,75,,6562,BAKERS HILL,
BALLARAT WEST,75,,2820,BAKERS SWAMP,
BALLARD,72,,3350,BAKERY HILL,
BALLAROO,72,,3354,BAKERY HILL,
BALLAST HEAD,73,,4413,BAKING BOARD,
BALLAYING,76,,3183,BALACLAVA,
BALLDALE,70,,5461,BALAKLAVA,
BALLENDELLA,75,,2358,BALALA,
BALLENGARRA,70,,6258,BALBARRUP,
BALLIANG,75,,4740,BALBERRA,
BALLIANG EAST,75,,6021,BALCATTA,
BALLIDU,76,,6914,BALCATTA,
BALLIMORE,70,,2264,BALCOLYN,
BALLINA,70,,4702,BALCOMBA,
BALLOGIE,72,,2365,BALD BLAIR,
BALLY BALLY,76,,2549,BALD HILLS,
BALLYROE,70,,3364,BALD HILLS,
BALLYROGAN,75,,4036,BALD HILLS,
BALMAIN,70,,5203,BALD HILLS,
BALMAIN EAST,70,,4552,BALD KNOB,
BALMATTUM,75,,2370,BALD NOB,
BALMORAL,70,,2795,BALD RIDGE,
BALMORAL RIDGE,72,,2365,BALDERSLEIGH,
BALNAGOWAN,72,,5417,BALDINA,
BALNARRING,75,,6171,BALDIVIS,
BALNARRING BEACH,75,,2867,BALDRY,
BALOOK,75,,4820,BALFES CREEK,
BALRANALD,70,,2402,BALFOURS PEAK,
BALWYN,75,,6061,BALGA,
BALWYN EAST,75,,4816,BALGAL BEACH,
BALWYN NORTH,75,,4401,BALGOWAN,
